id,label
EXM_0010,1
EXM_0028,1
EXM_0045,1
EXM_0149,0
EXM_0075,1
EXM_0119,0
EXM_0147,0
EXM_0031,1
EXM_0141,0
EXM_0047,1
EXM_0020,1
EXM_0026,1
EXM_0187,0
EXM_0067,1
EXM_0096,1
EXM_0049,1
EXM_0012,1
EXM_0193,0
EXM_0162,0
EXM_0184,0
EXM_0032,1
EXM_0140,0
EXM_0052,1
EXM_0190,0
EXM_0120,0
EXM_0154,0
EXM_0148,0
EXM_0196,0
EXM_0194,0
EXM_0078,1
EXM_0139,0
EXM_0176,0
EXM_0070,1
EXM_0173,0
EXM_0183,0
EXM_0111,0
EXM_0179,0
EXM_0027,1
EXM_0191,0
EXM_0151,0
EXM_0059,1
EXM_0077,1
EXM_0110,0
EXM_0156,0
EXM_0007,1
EXM_0155,0
EXM_0181,0
EXM_0087,1
EXM_0034,1
EXM_0107,0
EXM_0066,1
EXM_0043,1
EXM_0050,1
EXM_0021,1
EXM_0006,1
EXM_0125,0
EXM_0124,0
EXM_0024,1
EXM_0134,0
EXM_0061,1
EXM_0042,1
EXM_0198,0
EXM_0037,1
EXM_0180,0
EXM_0063,1
EXM_0054,1
EXM_0001,1
EXM_0102,0
EXM_0019,1
EXM_0168,0
EXM_0076,1
EXM_0127,0
EXM_0056,1
EXM_0175,0
EXM_0199,0
EXM_0079,1
EXM_0137,0
EXM_0097,1
EXM_0117,0
EXM_0038,1
EXM_0023,1
EXM_0088,1
EXM_0014,1
EXM_0022,1
EXM_0060,1
EXM_0182,0
EXM_0004,1
EXM_0081,1
EXM_0112,0
EXM_0090,1
EXM_0132,0
EXM_0057,1
EXM_0058,1
EXM_0129,0
EXM_0000,1
EXM_0144,0
EXM_0170,0
EXM_0048,1
EXM_0167,0
EXM_0025,1
EXM_0165,0
EXM_0166,0
EXM_0145,0
EXM_0013,1
EXM_0169,0
EXM_0082,1
EXM_0093,1
EXM_0138,0
EXM_0009,1
EXM_0065,1
EXM_0085,1
EXM_0195,0
EXM_0080,1
EXM_0098,1
EXM_0164,0
EXM_0084,1
EXM_0071,1
EXM_0189,1
EXM_0039,1
EXM_0161,0
EXM_0104,0
EXM_0092,1
EXM_0008,1
EXM_0174,0
EXM_0029,1
EXM_0152,0
EXM_0018,1
EXM_0142,0
EXM_0192,0
EXM_0177,0
EXM_0118,0
EXM_0130,0
EXM_0053,1
EXM_0150,0
EXM_0091,1
EXM_0197,0
EXM_0115,0
EXM_0153,0
EXM_0035,1
EXM_0185,0
EXM_0133,0
EXM_0015,1
EXM_0172,0
EXM_0030,1
EXM_0072,1
EXM_0094,1
EXM_0171,0
EXM_0108,0
EXM_0046,1
EXM_0033,1
EXM_0095,1
EXM_0158,0
EXM_0146,0
EXM_0157,0
EXM_0016,1
EXM_0044,1
EXM_0186,0
EXM_0083,1
EXM_0178,0
EXM_0086,1
EXM_0100,0
EXM_0073,1
EXM_0069,1
EXM_0188,0
EXM_0040,1
EXM_0159,0
EXM_0131,0
EXM_0011,1
EXM_0116,0
EXM_0106,0
EXM_0136,0
EXM_0114,0
EXM_0126,0
EXM_0105,0
EXM_0143,0
EXM_0051,1
EXM_0068,1
EXM_0002,1
EXM_0089,1
EXM_0122,0
EXM_0113,0
EXM_0017,1
EXM_0101,0
EXM_0128,0
EXM_0103,0
EXM_0123,0
EXM_0041,1
EXM_0135,0
EXM_0163,0
EXM_0062,1
EXM_0003,1
EXM_0005,1
EXM_0036,1
EXM_0055,1
EXM_0109,0
EXM_0074,1
EXM_0099,1
EXM_0121,0
EXM_0064,1
EXM_0160,0
