id,label
EX_P043,1
EX_P022,1
EX_P076,1
EX_N028,0
EX_P081,1
EX_P041,1
EX_N067,0
EX_N081,0
EX_N057,0
EX_P034,1
EX_N097,0
EX_N022,0
EX_P028,1
EX_P053,1
EX_P099,1
EX_P003,1
EX_P055,1
EX_N026,0
EX_N016,0
EX_P068,1
EX_N064,0
EX_P014,1
EX_P092,1
EX_N049,0
EX_P091,1
EX_N043,0
EX_P075,1
EX_N017,0
EX_P032,1
EX_N088,0
EX_P045,1
EX_N027,0
EX_P050,1
EX_P077,1
EX_N078,0
EX_P097,1
EX_P004,1
EX_P044,1
EX_P029,1
EX_P087,1
EX_P066,1
EX_N096,0
EX_P047,1
EX_N025,0
EX_P098,1
EX_N073,0
EX_N039,0
EX_N077,0
EX_P072,1
EX_N084,0
EX_P088,1
EX_P094,1
EX_N099,0
EX_P026,1
EX_N075,0
EX_P039,1
EX_P002,1
EX_P038,1
EX_P085,1
EX_N033,0
EX_P093,1
EX_N020,0
EX_N059,0
EX_N037,0
EX_N001,0
EX_N023,0
EX_P073,1
EX_N063,0
EX_P023,1
EX_P010,1
EX_P065,1
EX_P078,1
EX_P020,1
EX_N098,0
EX_P064,1
EX_N040,0
EX_P082,1
EX_N030,0
EX_P080,1
EX_P040,1
EX_N013,0
EX_N083,0
EX_P074,1
EX_N087,0
EX_N000,0
EX_P037,1
EX_N045,0
EX_P019,1
EX_N048,0
EX_N062,0
EX_N058,0
EX_P089,1
EX_N056,0
EX_P036,1
EX_N065,0
EX_N054,0
EX_N089,0
EX_P000,1
EX_N060,0
EX_N006,0
EX_P007,1
EX_N090,0
EX_N034,0
EX_P061,1
EX_N092,0
EX_P052,1
EX_P021,1
EX_N080,0
EX_P096,1
EX_P011,1
EX_N069,0
EX_N007,0
EX_P069,1
EX_P083,1
EX_P006,1
EX_P012,1
EX_P070,1
EX_N009,0
EX_N044,0
EX_N036,0
EX_N070,0
EX_P009,1
EX_N018,0
EX_N011,0
EX_P031,1
EX_P059,1
EX_N029,0
EX_P046,1
EX_N042,0
EX_P035,1
EX_N014,0
EX_N052,0
EX_P049,1
EX_N079,0
EX_P027,1
EX_N091,0
EX_N003,0
EX_N085,0
EX_P025,1
EX_P013,1
EX_N019,0
EX_N005,0
EX_N095,0
EX_P090,1
EX_N010,0
EX_N053,0
EX_P024,1
EX_P048,1
EX_N004,0
EX_N051,0
EX_P062,1
EX_N021,0
EX_N047,0
EX_N046,0
EX_P033,1
EX_N093,0
EX_N094,0
EX_N024,0
EX_P071,1
EX_P060,1
EX_N031,0
EX_N068,0
EX_P084,1
EX_P008,1
EX_P017,1
EX_N072,0
EX_P015,1
EX_N061,0
EX_P018,1
EX_P001,1
EX_P056,1
EX_N074,0
EX_P058,1
EX_N041,0
EX_N050,0
EX_P005,1
EX_P086,1
EX_P016,1
EX_P057,1
EX_P063,1
EX_P030,1
EX_N015,0
EX_N032,0
EX_N012,0
EX_P095,1
EX_N066,0
EX_N071,0
EX_N002,0
EX_P079,1
EX_N082,0
EX_P051,1
EX_N076,0
EX_N086,0
EX_N038,0
EX_P054,1
EX_N008,0
EX_N055,0
EX_N035,0
EX_P067,1
EX_P042,1
